weight,#adv (success_rate),L2
0.00025,50,2.890005350112915/5.437582492828369/3.834568977355957
0.0005,553,2.971330165863037/6.771539688110352/4.872185707092285
0.001,870,4.0379862785339355/9.518878936767578/6.824718952178955
0.002,872,4.19394063949585/9.442291259765625/6.777350902557373
0.003,883,5.989644527435303/9.51172161102295/7.740481853485107
0.004,883,5.8862199783325195/9.514693260192871/7.57403039932251
0.005,880,5.577515602111816/9.563403129577637/7.493152618408203
10000
0.00025,0.0449,2.7051684856414795/5.984322547912598/4.051473617553711
0.0005,0.5518,2.9594922065734863/7.051109790802002/4.984900951385498
0.001,0.8697,4.090230941772461/9.750813484191895/6.966902256011963
0.002,0.8868,4.222633361816406/9.705565452575684/6.981068134307861
0.003,0.8927,5.942223072052002/9.742328643798828/7.845036506652832
0.004,0.8885,5.832159519195557/9.721165657043457/7.6739983558654785
0.005,0.8919,5.548650741577148/9.764520645141602/7.610717296600342
20000
0.00025,0.04675,2.6632657051086426/6.049201965332031/4.148885250091553
0.0005,0.5562,2.9893126487731934/7.049163341522217/5.001734733581543
0.001,0.87195,4.105776309967041/9.767952919006348/6.976207733154297
0.002,0.88865,4.225820541381836/9.725785255432129/6.994950771331787
0.003,0.89505,5.943421363830566/9.760558128356934/7.854611396789551
0.004,0.89115,5.826048374176025/9.742429733276367/7.6778717041015625
0.005,0.8943,5.5371317863464355/9.782129287719727/7.608195781707764
40000
0.00025,0.0469,2.6632657051086426/6.065728187561035/4.201578140258789
0.0005,0.552525,2.9928553104400635/7.039007186889648/4.9981513023376465
0.001,0.872075,4.098401069641113/9.791391372680664/6.978646755218506
0.002,0.889925,4.218071460723877/9.756467819213867/7.001760959625244
0.003,0.896625,5.947138786315918/9.779960632324219/7.8660569190979
0.004,0.893075,5.825135231018066/9.764768600463867/7.6884589195251465
0.005,0.896075,5.525296211242676/9.81867790222168/7.623520374298096
pretrained_0
0.00025,0.043,2.890005350112915/5.079100608825684/3.825681447982788
0.0005,0.181,3.830845594406128/6.69097375869751/5.202763080596924
0.001,0.363,3.8315651416778564/9.245169639587402/6.5074872970581055
0.002,0.409,4.8669657707214355/9.190600395202637/7.0273284912109375
0.003,0.595,6.145972728729248/9.710801124572754/7.925412654876709
0.004,0.095,5.9608259201049805/9.075159072875977/7.289029598236084
0.005,0.492,5.349375247955322/9.07716178894043/7.075953960418701
pretrained_1
0.00025,0.007,3.74658465385437/4.906630992889404/4.198651313781738
0.0005,0.043,2.925194025039673/6.787700653076172/5.009076118469238
0.001,0.046,3.5678813457489014/8.29255485534668/6.019600868225098
0.002,0.026,5.937771320343018/7.995545387268066/6.8006272315979
0.003,0.108,6.493985652923584/9.28502368927002/7.792984485626221
0.004,0.0,#
0.005,0.028,6.349838733673096/8.881363868713379/7.14210844039917
pretrained_2
0.00025,0.052,2.775813579559326/4.906630992889404/3.604140043258667
0.0005,0.185,3.5317115783691406/6.501381874084473/4.955959796905518
0.001,0.571,3.9168648719787598/9.388916969299316/6.66289758682251
0.002,0.439,4.311088562011719/9.36561107635498/6.799088001251221
0.003,0.673,5.920324802398682/9.310678482055664/7.615889549255371
0.004,0.408,5.9608259201049805/8.50971794128418/7.226171970367432
0.005,0.712,5.564886569976807/9.295649528503418/7.34702730178833
pretrained_3
0.00025,0.026,3.189823627471924/5.623591423034668/4.202765941619873
0.0005,0.438,2.8372995853424072/6.640875816345215/4.709979057312012
0.001,0.736,3.8942980766296387/9.388916969299316/6.651509761810303
0.002,0.78,4.19394063949585/9.508794784545898/6.822251319885254
0.003,0.775,6.008506774902344/9.39842414855957/7.6667890548706055
0.004,0.818,5.8862199783325195/9.451502799987793/7.550947666168213
0.005,0.808,5.564886569976807/9.430558204650879/7.423665523529053
