weight,#adv (success_rate),L2
0.01,99,4.627819538116455/7.4828104972839355/6.113658428192139
0.02,652,4.761991500854492/7.8973283767700195/6.321065425872803
0.03,827,4.650678634643555/8.254783630371094/6.472350597381592
0.04,843,4.589873313903809/8.514097213745117/6.493521213531494
0.05,879,4.72029447555542/8.829551696777344/6.659958839416504
10000
0.01,0.119,4.827436447143555/7.414356231689453/6.122705936431885
0.02,0.6698,4.712306022644043/7.991431713104248/6.357179164886475
0.03,0.8274,4.655982494354248/8.435959815979004/6.57565975189209
0.04,0.8428,4.615499019622803/8.638904571533203/6.5933356285095215
0.05,0.8897,4.712250709533691/9.003250122070312/6.756758213043213
20000
0.01,0.13005,4.8321685791015625/7.456474781036377/6.132252216339111
0.02,0.6731,4.716036796569824/8.004457473754883/6.365132808685303
0.03,0.83025,4.655982494354248/8.445976257324219/6.579615116119385
0.04,0.8455,4.626137733459473/8.641963005065918/6.60112190246582
0.05,0.89145,4.699726581573486/9.003097534179688/6.765091896057129
40000
0.01,0.132725,4.841014862060547/7.465045928955078/6.143200874328613
0.02,0.6713,4.707235813140869/8.016149520874023/6.369552135467529
0.03,0.829075,4.6445088386535645/8.471948623657227/6.5907416343688965
0.04,0.8442,4.61440896987915/8.669219017028809/6.606985092163086
0.05,0.893075,4.684638977050781/9.033121109008789/6.772329807281494
pretrained_0
0.01,0.062,4.8660993576049805/7.633152961730957/6.285943031311035
0.02,0.086,5.466856479644775/8.170042037963867/6.934132099151611
0.03,0.028,5.9563398361206055/7.835901260375977/6.933899402618408
0.04,0.026,6.11130428314209/8.188410758972168/7.14504861831665
0.05,0.009,6.845107555389404/8.007613182067871/7.311845779418945
pretrained_1
0.01,0.011,4.427978515625/7.4828104972839355/6.140272617340088
0.02,0.059,4.872832298278809/7.072778224945068/5.9207072257995605
0.03,0.008,5.472333908081055/6.238227367401123/5.839744567871094
0.04,0.117,5.009138584136963/7.477753162384033/6.168126583099365
0.05,0.049,5.6977925300598145/7.838115215301514/6.69518518447876
pretrained_2
0.01,0.082,4.602635860443115/7.313494682312012/6.01099967956543
0.02,0.291,4.805699825286865/7.673067569732666/6.173134803771973
0.03,0.138,4.755463600158691/7.570611476898193/6.117631435394287
0.04,0.364,4.7795329093933105/7.819116115570068/6.271589756011963
0.05,0.516,5.065626621246338/8.339454650878906/6.639782905578613
pretrained_3
0.01,0.063,4.627819538116455/7.126638412475586/5.829339981079102
0.02,0.288,4.782161712646484/7.69740629196167/6.191575527191162
0.03,0.11,5.2017717361450195/7.835901260375977/6.491395950317383
0.04,0.435,5.009138584136963/8.379868507385254/6.627678394317627
0.05,0.364,5.195966720581055/9.127873420715332/6.9806413650512695
